my_id;unos;decision;tipo_delito;abreviado;tribcoleg;extranjero;imputado_mujer;genero_victima;defensor_pub;defensor_muj;exp_defensor;exp_fiscal;fiscal_mujer;exp_juez;juez_mujer;year;periodo
7780;1;1;5;0;1;0;0;2;0;0;15;8;0;17;1;2010;1
7781;1;0;4;0;1;0;0;2;0;0;15;8;0;17;1;2010;1
7782;1;0;4;0;1;0;0;2;0;0;15;8;0;17;1;2010;1
5535;1;0;2;0;0;0;0;0;0;0;9;24;0;20;1;2008;1
282;1;1;0;0;0;1;0;1;1;1;8;19;1;21;0;2005;0
3664;1;1;5;0;1;0;0;2;1;0;7;10;0;15;1;2006;0
3995;1;0;1;0;1;0;0;1;0;0;22;9;0;17;0;2006;0
4920;1;1;0;0;0;0;0;0;1;0;8;23;0;12;0;2007;0
4921;1;1;2;0;0;0;0;0;1;0;8;23;0;12;0;2007;0
7489;1;0;0;0;1;0;0;2;1;1;13;10;1;11;0;2010;1
7490;1;1;2;0;1;0;0;2;1;1;13;10;1;11;0;2010;1
5595;1;0;0;0;0;0;0;0;0;0;8;11;0;13;0;2008;1
5218;1;0;0;0;1;0;0;1;1;0;10;4;1;16;0;2007;0
2369;1;1;0;0;1;0;0;2;1;0;13;2;1;14;0;2004;0
3076;1;1;0;0;0;0;0;0;1;0;18;21;0;14;1;2005;0
3516;1;0;0;0;1;0;0;0;1;0;15;9;1;17;0;2006;0
3604;1;1;3;0;1;0;1;2;1;1;2;9;1;11;0;2006;0
4173;1;1;2;0;1;0;0;0;0;0;28;22;0;17;0;2006;0
4174;1;1;0;0;1;0;0;0;0;0;28;22;0;17;0;2006;0
5143;1;1;5;0;1;0;0;2;1;1;6;5;0;19;0;2007;0
5497;1;0;0;0;1;0;0;2;1;0;15;5;1;15;0;2008;1
4326;1;0;2;0;1;0;0;0;1;0;12;20;1;16;1;2006;0
4371;1;1;1;0;1;0;0;1;1;1;11;9;0;12;0;2006;0
4372;1;1;1;0;1;0;0;1;1;1;11;9;0;12;0;2006;0
8131;1;1;0;0;1;0;0;0;1;1;23;4;0;23;1;2011;1
8132;1;1;7;0;1;0;0;0;1;1;23;4;0;23;1;2011;1
8133;1;1;8;0;1;0;0;0;1;1;23;4;0;23;1;2011;1
4207;1;1;2;0;0;0;0;0;0;1;4;22;0;17;0;2006;0
4312;1;0;2;0;0;0;0;2;0;1;4;22;0;15;1;2006;0
4313;1;0;7;0;0;0;0;2;0;1;4;22;0;15;1;2006;0
7550;1;0;3;0;1;0;0;2;0;0;12;9;1;11;0;2010;1
4815;1;0;1;0;1;0;0;2;1;0;13;10;0;12;0;2007;0
3448;1;0;0;0;1;0;0;0;1;0;7;22;0;15;1;2006;0
4258;1;0;0;0;1;0;0;0;0;0;23;9;1;15;1;2006;0
4340;1;0;6;0;0;0;0;2;1;0;9;3;1;15;1;2006;0
6053;1;1;0;0;1;0;0;0;0;0;9;7;1;9;0;2008;1
6054;1;1;0;0;1;0;0;1;0;0;9;7;1;9;0;2008;1
6055;1;1;0;0;1;0;0;2;0;0;9;7;1;9;0;2008;1
6056;1;1;0;0;1;0;0;0;0;0;9;7;1;9;0;2008;1
6057;1;1;7;0;1;0;0;0;0;0;9;7;1;9;0;2008;1
6058;1;1;0;0;1;0;0;1;0;0;9;7;1;9;0;2008;1
